index,average distance
0,0.9230769230769231
1,0.8525986809763226
2,0.8562306140872263
3,0.8507526370700587
4,0.8544476096912764
5,0.8458056009264213
6,0.8597544266504967
7,0.8613250877388715
8,0.863037250387025
9,0.8676133280665183
10,0.8687862723510076
11,0.8271242029805124
12,0.8532434260679819
13,0.8275587988471064
14,0.8344681620401704
15,0.8194735587239221
16,0.8455882828490514
17,0.8676783469972493
18,0.8640371130523693
19,0.8392224292709797
20,0.8520509003380521
21,0.8290710476827804
22,0.8471452363968834
23,0.8382504401641396
24,0.8124731083383394
25,0.8209053305244582
26,0.8680933707652781
27,0.8490100044876427
28,0.8452845166500739
29,0.8329835611024533
30,0.8787882374352289
31,0.8601808966489307
32,0.8189225874370915
33,0.8415539497949143
34,0.8082576435815927
35,0.8456425897953022
36,0.8516708208232798
37,0.8505788841934353
38,0.8264960074696285
39,0.8199803438412369
40,0.8499187321984637
41,0.8316649568208223
42,0.8508895504178248
43,0.8688353178116286
44,0.8660787392172521
45,0.8557209709959205
46,0.8435229202747686
47,0.8412204783967501
48,0.8433629111017756
49,0.8145730294185191
50,0.8402597198530669
51,0.8374961976877612
52,0.8033144270023561
53,0.8225973668530708
54,0.8427952182570873
55,0.8224314180401642
56,0.8341397593139951
57,0.860459168091447
58,0.8406311264134827
59,0.8253884550411674
60,0.838106860285111
61,0.8368662354652746
62,0.8394563599467691
63,0.828979425550071
64,0.805645440131054
65,0.8213507926734354
66,0.8182203257984991
67,0.8401411975524649
68,0.8394620555706296
69,0.8469708562603159
70,0.8262973557525403
71,0.8318120415784456
72,0.7960250873974591
73,0.8251218870270288
74,0.8193146389505859
75,0.8226872148468931
76,0.8228757571808006
77,0.8150561575096505
78,0.8265920419421193
79,0.8023578962411052
80,0.7960469971463006
81,0.8047111116071611
82,0.799665237202187
83,0.854581228900323
84,0.8075097622650255
85,0.8215354413687298
86,0.8112381887525884
87,0.7839250930619999
88,0.7601432915384322
89,0.7380557659036795
90,0.7941709412759642
91,0.7428068803834923
92,0.7693135862578216
93,0.7748051511583245
94,0.7462719365314096
95,0.7615969538302592
96,0.7288108088341565
97,0.7408687773153375
98,0.7353349125208316
99,0.6516878087811592
