index,average distance
0,0.9090909090909091
1,0.8380293910037439
2,0.8546749721038465
3,0.8592635686379797
4,0.8492364926504964
5,0.8399593404390614
6,0.8268583181692449
7,0.8463711008804733
8,0.8511395327860167
9,0.8426351689116504
10,0.858343739373104
11,0.8566163342296629
12,0.8492346664462792
13,0.8567176242399672
14,0.8562612012930825
15,0.8400660230728376
16,0.8430788345510549
17,0.8609303563028358
18,0.8326055337334235
19,0.8536422749139589
20,0.8363672621411691
21,0.8313975689578664
22,0.8374076347407348
23,0.8655975058887525
24,0.8396233308467257
25,0.84849002764196
26,0.8380416157754292
27,0.8563670946555925
28,0.858646853079243
29,0.8614712772287743
30,0.8430847289405834
31,0.8418454462472164
32,0.8348686057943293
33,0.8170819480517059
34,0.8423459452487835
35,0.8506115335698288
36,0.8486111194067346
37,0.8387710291507723
38,0.8355276736439627
39,0.8444243236923409
40,0.8510688515711787
41,0.8486538564796964
42,0.8337589047144607
43,0.8701872816818859
44,0.8593751674877971
45,0.8393151662803029
46,0.8615235235605642
47,0.8448693073968851
48,0.857570833079463
49,0.8411985986299907
50,0.8344831401485897
51,0.8532179821909874
52,0.8563887438091738
53,0.8680173004596727
54,0.8247610524245229
55,0.8357265765533016
56,0.8326557699785412
57,0.8616582248948113
58,0.8313157902389318
59,0.8586613009513333
60,0.8257599992573588
61,0.8337776246432287
62,0.8407186806773191
63,0.8414285645831611
64,0.8434738776202827
65,0.846572067951332
66,0.8219794207332614
67,0.831747076641408
68,0.8424087235494738
69,0.8256018770816287
70,0.8304591165350655
71,0.8236246198244511
72,0.8554354301108373
73,0.8683591211427629
74,0.8410888174741573
75,0.8336201029869
76,0.8442218293884366
77,0.8379943148942396
78,0.8624977992884508
79,0.8699676696774115
80,0.847188790237397
81,0.8454128864821084
82,0.8628490693771014
83,0.8647531977508589
84,0.8514678303881239
85,0.8220081281430016
86,0.8644127287330309
87,0.887312437499707
88,0.854418417332985
89,0.8471821880869363
90,0.8589670823811826
91,0.8558801105295649
92,0.8563678232075628
93,0.8392768479897333
94,0.8232592335752453
95,0.8134678341519577
96,0.8329750641189125
97,0.8430120466166944
98,0.8211286176042409
99,0.8450774779273967
