index,average distance
0,0.9
1,0.826588336406717
2,0.8320658641617266
3,0.8023945584847691
4,0.8424299734595956
5,0.8040265378408702
6,0.8132895291919235
7,0.8236795209823006
8,0.8577898712091124
9,0.8246148310267977
10,0.8204843282945263
11,0.7709224927837979
12,0.8084685353427277
13,0.8002157069397949
14,0.8080033295468555
15,0.8274536563280288
16,0.8295642911325815
17,0.8247744074306363
18,0.8173416486305806
19,0.8072363252222419
20,0.8191035642750724
21,0.7876136397360056
22,0.8057118826134306
23,0.803639067517039
24,0.8015606661570284
25,0.8274503556635405
26,0.8159549839358871
27,0.7908247207373772
28,0.8041579593614708
29,0.8193002016757106
30,0.8215725868845064
31,0.801530266564837
32,0.8108296476750027
33,0.7858155124536209
34,0.8201641323330952
35,0.8015316472257346
36,0.8225775480408675
37,0.8127451335458536
38,0.8209890857737607
39,0.8288023985953779
40,0.7759670898308703
41,0.8057388853308118
42,0.765963976412977
43,0.8033874268285545
44,0.8195082725147405
45,0.8034104897133199
46,0.7971041836937685
47,0.7985269008272206
48,0.8097529745108693
49,0.7831590455296338
50,0.7987447523793009
51,0.7863229611761884
52,0.7746614527964171
53,0.7598014218977505
54,0.7798561666960341
55,0.8108671311229664
56,0.7767889051620491
57,0.782965297657614
58,0.7851651862200556
59,0.7589309454176092
60,0.7707976799508802
61,0.7504876844440513
62,0.7484251917839817
63,0.7619589181966386
64,0.736378356922986
65,0.7264634059104184
66,0.760533974596668
67,0.7811220328384617
68,0.7722579740580683
69,0.7285620394957789
70,0.7518816317308474
71,0.7334869094062646
72,0.727162460445658
73,0.7255323573589928
74,0.7256301758961539
75,0.7544001620304286
76,0.7205117392067857
77,0.7263225835066779
78,0.7009856165427878
79,0.7280574129543002
80,0.7538221238379335
81,0.7203467004026508
82,0.7129069761937409
83,0.7133983478603179
84,0.7118863575701306
85,0.7140904997229032
86,0.6826400089264271
87,0.7123452541610437
88,0.6641983353004015
89,0.6768849613744317
90,0.6583529439686561
91,0.6320654055415228
92,0.6086260233219616
93,0.6374894601943127
94,0.6064143733298902
95,0.5765493090930397
96,0.5580440859692946
97,0.5537205936889272
98,0.5024120218017277
99,0.4356309076988879
